date;name;category;value
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;0
2003;Norte de Santander;Permanencia y rezago;6
2003;Norte de Santander;Permanencia y rezago;0
2003;Quindío;Permanencia y rezago;0
2003;Quindío;Permanencia y rezago;0
2003;Quindío;Permanencia y rezago;0
2003;Quindío;Permanencia y rezago;0
2003;Quindío;Permanencia y rezago;10
2003;Quindío;Permanencia y rezago;0
2003;Quindío;Permanencia y rezago;0
2003;Quindío;Permanencia y rezago;0
2003;Quindío;Permanencia y rezago;0
2003;Quindío;Permanencia y rezago;0
2003;Quindío;Permanencia y rezago;0
2003;Quindío;Permanencia y rezago;0
2003;Quindío;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;12
2003;Risaralda;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;0
2003;Risaralda;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;7
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Santander;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;7
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Sucre;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;6
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
2003;Valle del Cauca;Permanencia y rezago;0
